"age","totals","ï..SHLPPOBronze4585500","SHLPPODefinedBronze40855030","SHLPPOBronze40855030","SHLPPOBronze2587000","SHLPPOSilver4070000","SHLPPODefinedSilver455000IP","SHLPPOSilver455000IP","SHLPPOSilver3525000","SHLPPOSilver3538000","SHLPPOSilver353000IP","SHLPPOSilver35250030","SHLPPOSilver35500030","SHLPPOSilver25170020","SHLPPODefinedGold102000IPRx","SHLPPOGold102000IP","SHLPPOGold35330040","SHLPPOGold101500IP","SHLPPOGold25100020","SHLPPOGold2550020","SHLPPOGold301000IP","SHLPPOGold2550030","SHLPPOGold30100020","SHLPPODefinedPlatinum2025010","SHLPPOPlatinum2025010","SHLPPOPlatinum1010010"
"0 - 14",0,241.96,NA,254.78,264.87,318.02,NA,328.1,329.94,337.26,338.64,342.31,NA,354.68,NA,382.18,383.09,387.67,389.51,395.92,401.42,411.04,411.51,NA,487.58,495.36
"15",0,263.46,NA,277.43,288.41,346.29,NA,357.27,359.27,367.24,368.75,372.74,NA,386.21,NA,416.15,417.15,422.13,424.13,431.11,437.1,447.58,448.08,NA,530.92,539.39
"16",0,271.69,NA,286.09,297.42,357.1,NA,368.42,370.48,378.71,380.26,384.37,NA,398.26,NA,429.14,430.17,435.3,437.37,444.57,450.74,461.55,462.07,NA,547.49,556.23
"17",0,279.91,NA,294.75,306.42,367.91,NA,379.57,381.69,390.17,391.77,396,NA,410.31,NA,442.13,443.19,448.48,450.6,458.02,464.39,475.52,476.06,NA,564.06,573.06
"18",0,288.77,NA,304.07,316.11,379.55,NA,391.58,393.77,402.51,404.16,408.53,NA,423.3,NA,456.12,457.21,462.67,464.86,472.52,479.08,490.56,491.12,NA,581.9,591.19
"19",0,297.62,NA,313.4,325.81,391.19,NA,403.59,405.85,414.86,416.56,421.06,NA,436.28,NA,470.11,471.23,476.86,479.12,487.01,493.77,505.61,506.18,NA,599.75,609.32
"20",0,306.79,NA,323.06,335.85,403.25,NA,416.02,418.35,427.64,429.39,434.04,NA,449.72,NA,484.59,485.75,491.55,493.88,502.02,508.99,521.19,521.78,NA,618.23,628.1
"21",0,316.28,NA,333.05,346.23,415.72,NA,428.89,431.29,440.87,442.67,447.46,NA,463.63,NA,499.58,500.77,506.76,509.16,517.54,524.73,537.31,537.92,NA,637.35,647.53
"22",0,316.28,NA,333.05,346.23,415.72,NA,428.89,431.29,440.87,442.67,447.46,NA,463.63,NA,499.58,500.77,506.76,509.16,517.54,524.73,537.31,537.92,NA,637.35,647.53
"23",0,316.28,NA,333.05,346.23,415.72,NA,428.89,431.29,440.87,442.67,447.46,NA,463.63,NA,499.58,500.77,506.76,509.16,517.54,524.73,537.31,537.92,NA,637.35,647.53
"24",0,316.28,NA,333.05,346.23,415.72,NA,428.89,431.29,440.87,442.67,447.46,NA,463.63,NA,499.58,500.77,506.76,509.16,517.54,524.73,537.31,537.92,NA,637.35,647.53
"25",0,317.55,NA,334.38,347.62,417.38,NA,430.61,433.02,442.63,444.44,449.25,NA,465.49,NA,501.58,502.78,508.78,511.19,519.61,526.83,539.46,540.07,NA,639.9,650.12
"26",0,323.87,NA,341.04,354.54,425.7,NA,439.18,441.64,451.45,453.3,458.2,NA,474.76,NA,511.57,512.79,518.92,521.38,529.96,537.33,550.2,550.83,NA,652.65,663.07
"27",0,331.46,NA,349.04,362.85,435.67,NA,449.48,451.99,462.03,463.92,468.94,NA,485.89,NA,523.56,524.81,531.08,533.6,542.38,549.92,563.1,563.74,NA,667.95,678.61
"28",0,343.8,NA,362.02,376.36,451.89,NA,466.2,468.81,479.22,481.19,486.39,NA,503.97,NA,543.04,544.34,550.85,553.45,562.57,570.38,584.05,584.72,NA,692.8,703.86
"29",0,353.92,NA,372.68,387.44,465.19,NA,479.93,482.62,493.33,495.35,500.71,NA,518.8,NA,559.03,560.37,567.06,569.75,579.13,587.17,601.25,601.93,NA,713.2,724.58
"30",0,358.98,NA,378.01,392.98,471.84,NA,486.79,489.52,500.39,502.43,507.87,NA,526.22,NA,567.02,568.38,575.17,577.89,587.41,595.57,609.84,610.54,NA,723.4,734.94
"31",0,366.57,NA,386,401.29,481.82,NA,497.08,499.87,510.97,513.06,518.61,NA,537.35,NA,579.01,580.4,587.33,590.11,599.83,608.16,622.74,623.45,NA,738.69,750.48
"32",0,374.16,NA,394,409.6,491.79,NA,507.38,510.22,521.55,523.68,529.35,NA,548.48,NA,591,592.42,599.49,602.33,612.25,620.76,635.63,636.36,NA,753.99,766.03
"33",0,378.91,NA,398.99,414.79,498.03,NA,513.81,516.69,528.16,530.32,536.06,NA,555.43,NA,598.5,599.93,607.1,609.97,620.02,628.63,643.69,644.42,NA,763.55,775.74
"34",0,383.97,NA,404.32,420.33,504.68,NA,520.67,523.59,535.21,537.41,543.22,NA,562.85,NA,606.49,607.94,615.2,618.12,628.3,637.02,652.29,653.03,NA,773.75,786.1
"35",0,386.5,NA,406.99,423.1,508.01,NA,524.1,527.04,538.74,540.95,546.8,NA,566.56,NA,610.49,611.95,619.26,622.19,632.44,641.22,656.59,657.33,NA,778.85,791.28
"36",0,389.03,NA,409.65,425.87,511.33,NA,527.54,530.49,542.27,544.49,550.38,NA,570.27,NA,614.48,615.95,623.31,626.26,636.58,645.42,660.89,661.64,NA,783.94,796.46
"37",0,391.56,NA,412.32,428.64,514.66,NA,530.97,533.94,545.8,548.03,553.96,NA,573.98,NA,618.48,619.96,627.37,630.34,640.72,649.62,665.19,665.94,NA,789.04,801.64
"38",0,394.09,NA,414.98,431.41,517.98,NA,534.4,537.39,549.32,551.57,557.54,NA,577.69,NA,622.48,623.97,631.42,634.41,644.86,653.82,669.48,670.24,NA,794.14,806.82
"39",0,399.15,NA,420.31,436.95,524.64,NA,541.26,544.29,556.38,558.65,564.7,NA,585.1,NA,630.47,631.98,639.53,642.56,653.14,662.21,678.08,678.85,NA,804.34,817.18
"40",0,404.21,NA,425.64,442.49,531.29,NA,548.12,551.19,563.43,565.74,571.86,NA,592.52,NA,638.46,639.99,647.64,650.7,661.42,670.61,686.68,687.46,NA,814.54,827.54
"41",0,411.8,NA,433.63,450.8,541.26,NA,558.42,561.54,574.01,576.36,582.6,NA,603.65,NA,650.45,652.01,659.8,662.92,673.84,683.2,699.57,700.37,NA,829.83,843.08
"42",0,419.07,NA,441.29,458.76,550.83,NA,568.28,571.46,584.15,586.54,592.89,NA,614.31,NA,661.94,663.53,671.45,674.63,685.74,695.27,711.93,712.74,NA,844.49,857.97
"43",0,429.19,NA,451.95,469.84,564.13,NA,582,585.26,598.26,600.71,607.21,NA,629.15,NA,677.93,679.55,687.67,690.93,702.3,712.06,729.13,729.95,NA,864.89,878.69
"44",0,441.85,NA,465.27,483.69,580.76,NA,599.16,602.51,615.89,618.41,625.1,NA,647.69,NA,697.91,699.58,707.94,711.29,723.01,733.05,750.62,751.47,NA,890.38,904.6
"45",0,456.71,NA,480.92,499.96,600.3,NA,619.32,622.78,636.61,639.22,646.13,NA,669.48,NA,721.39,723.12,731.76,735.22,747.33,757.71,775.87,776.75,NA,920.34,935.03
"46",0,474.42,NA,499.57,519.35,623.58,NA,643.34,646.94,661.3,664.01,671.19,NA,695.45,NA,749.37,751.16,760.14,763.74,776.31,787.1,805.96,806.88,NA,956.03,971.29
"47",0,494.35,NA,520.56,541.17,649.77,NA,670.36,674.11,689.08,691.9,699.38,NA,724.66,NA,780.84,782.71,792.06,795.81,808.92,820.16,839.81,840.76,NA,996.18,1012.09
"48",0,517.12,NA,544.54,566.09,679.7,NA,701.24,705.16,720.82,723.77,731.6,NA,758.04,NA,816.81,818.77,828.55,832.47,846.18,857.94,878.5,879.49,NA,1042.07,1058.71
"49",0,539.58,NA,568.18,590.68,709.22,NA,731.69,735.78,752.12,755.2,763.37,NA,790.96,NA,852.28,854.32,864.53,868.62,882.93,895.19,916.65,917.69,NA,1087.32,1104.68
"50",0,564.88,NA,594.83,618.38,742.47,NA,766,770.29,787.39,790.61,799.17,NA,828.05,NA,892.25,894.38,905.07,909.36,924.33,937.17,959.63,960.72,NA,1138.31,1156.48
"51",0,589.87,NA,621.14,645.73,775.31,NA,799.88,804.36,822.22,825.59,834.52,NA,864.67,NA,931.72,933.94,945.1,949.58,965.22,978.62,1002.08,1003.22,NA,1188.66,1207.64
"52",0,617.38,NA,650.11,675.85,811.48,NA,837.19,841.88,860.58,864.1,873.45,NA,905.01,NA,975.18,977.51,989.19,993.88,1010.24,1024.28,1048.82,1050.01,NA,1244.11,1263.97
"53",0,645.22,NA,679.42,706.32,848.06,NA,874.94,879.83,899.37,903.05,912.82,NA,945.81,NA,1019.14,1021.58,1033.78,1038.68,1055.79,1070.45,1096.11,1097.35,NA,1300.2,1320.96
"54",0,675.26,NA,711.06,739.21,887.56,NA,915.68,920.81,941.26,945.11,955.33,NA,989.85,NA,1066.6,1069.15,1081.93,1087.05,1104.95,1120.3,1147.15,1148.45,NA,1360.75,1382.47
"55",0,705.31,NA,742.7,772.1,927.05,NA,956.43,961.78,983.14,987.16,997.84,NA,1033.9,NA,1114.06,1116.73,1130.07,1135.42,1154.12,1170.15,1198.19,1199.56,NA,1421.3,1443.99
"56",0,737.89,NA,777,807.77,969.87,NA,1000.6,1006.2,1028.55,1032.76,1043.93,NA,1081.65,NA,1165.52,1168.31,1182.26,1187.87,1207.42,1224.2,1253.54,1254.96,NA,1486.94,1510.68
"57",0,770.78,NA,811.64,843.77,1013.11,NA,1045.21,1051.06,1074.4,1078.79,1090.46,NA,1129.87,NA,1217.48,1220.39,1234.97,1240.82,1261.25,1278.77,1309.42,1310.9,NA,1553.23,1578.02
"58",0,805.89,NA,848.61,882.21,1059.25,NA,1092.81,1098.93,1123.33,1127.93,1140.13,NA,1181.33,NA,1272.93,1275.97,1291.22,1297.34,1318.7,1337.02,1369.06,1370.61,NA,1623.98,1649.9
"59",0,823.28,NA,866.93,901.25,1082.11,NA,1116.4,1122.65,1147.58,1152.28,1164.74,NA,1206.83,NA,1300.41,1303.52,1319.09,1325.34,1347.16,1365.88,1398.61,1400.2,NA,1659.03,1685.51
"60",0,858.39,NA,903.9,939.68,1128.26,NA,1164.01,1170.52,1196.52,1201.41,1214.41,NA,1258.3,NA,1355.86,1359.1,1375.34,1381.86,1404.61,1424.12,1458.25,1459.91,NA,1729.78,1757.39
"61",0,888.75,NA,935.87,972.92,1168.17,NA,1205.18,1211.93,1238.84,1243.91,1257.37,NA,1302.81,NA,1403.82,1407.18,1423.99,1430.73,1454.29,1474.5,1509.83,1511.55,NA,1790.96,1819.55
"62",0,908.68,NA,956.85,994.73,1194.36,NA,1232.2,1239.1,1266.62,1271.8,1285.56,NA,1332.01,NA,1435.3,1438.73,1455.91,1462.81,1486.9,1507.55,1543.68,1545.44,NA,1831.12,1860.35
"63",0,933.66,NA,983.16,1022.09,1227.2,NA,1266.08,1273.17,1301.45,1306.77,1320.91,NA,1368.64,NA,1474.76,1478.29,1495.95,1503.03,1527.78,1549.01,1586.13,1587.93,NA,1881.47,1911.5
"64",0,948.81,NA,999.11,1038.67,1247.11,NA,1286.63,1293.83,1322.56,1327.97,1342.34,NA,1390.85,NA,1498.69,1502.27,1520.22,1527.42,1552.57,1574.14,1611.87,1613.7,NA,1912,1942.52
"65+",0,948.81,NA,999.11,1038.67,1247.11,NA,1286.63,1293.83,1322.56,1327.97,1342.34,NA,1390.85,NA,1498.69,1502.27,1520.22,1527.42,1552.57,1574.14,1611.87,1613.7,NA,1912,1942.52
